2024-05-20T08:45:16,219826814+02:00;temperature.gpu=42.4;temperature.cpu=42.394;temperature.env=27.3;humidity=46.2;
2024-05-20T08:45:17,254423224+02:00;temperature.gpu=42.4;temperature.cpu=42.394;temperature.env=27.3;humidity=46.2;
2024-05-20T08:45:18,310370215+02:00;temperature.gpu=41.3;temperature.cpu=41.318;temperature.env=27.3;humidity=46.2;
2024-05-20T08:45:19,343158554+02:00;temperature.gpu=41.3;temperature.cpu=41.318;temperature.env=27;humidity=46.7;
2024-05-20T08:45:20,375841865+02:00;temperature.gpu=41.3;temperature.cpu=41.318;temperature.env=27;humidity=46.7;
2024-05-20T08:45:21,413769599+02:00;temperature.gpu=41.3;temperature.cpu=41.318;temperature.env=27;humidity=46.7;
2024-05-20T08:45:22,453558324+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=27;humidity=46.7;
2024-05-20T08:45:23,490918999+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.9;humidity=46.9;
2024-05-20T08:45:24,525421219+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.9;humidity=46.9;
2024-05-20T08:45:25,568459496+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.9;humidity=46.9;
2024-05-20T08:45:26,601367247+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.9;humidity=46.9;
2024-05-20T08:45:27,634343172+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.9;humidity=46.9;
2024-05-20T08:45:28,668809286+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.7;humidity=47.3;
2024-05-20T08:45:29,699963241+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.7;humidity=47.3;
2024-05-20T08:45:30,733984997+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.7;humidity=47.3;
2024-05-20T08:45:31,767136519+02:00;temperature.gpu=40.8;temperature.cpu=40.78;temperature.env=26.7;humidity=47.3;
2024-05-20T08:45:32,807235680+02:00;temperature.gpu=40.2;temperature.cpu=40.78;temperature.env=26.7;humidity=47.3;
2024-05-20T08:45:33,840021945+02:00;temperature.gpu=40.2;temperature.cpu=40.78;temperature.env=26.5;humidity=47.7;
2024-05-20T08:45:34,874940005+02:00;temperature.gpu=40.2;temperature.cpu=40.78;temperature.env=26.5;humidity=47.7;
2024-05-20T08:45:35,908661128+02:00;temperature.gpu=40.2;temperature.cpu=40.78;temperature.env=26.5;humidity=47.7;
2024-05-20T08:45:36,938940092+02:00;temperature.gpu=40.2;temperature.cpu=40.78;temperature.env=26.5;humidity=47.7;
2024-05-20T08:45:37,994904368+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.5;humidity=47.7;
2024-05-20T08:45:39,033286853+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.4;humidity=48.1;
2024-05-20T08:45:40,089905281+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.4;humidity=48.1;
2024-05-20T08:45:41,143691356+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.4;humidity=48.1;
2024-05-20T08:45:42,171276765+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.4;humidity=48.1;
2024-05-20T08:45:43,213152978+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.4;humidity=48.1;
2024-05-20T08:45:44,264143348+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.3;humidity=48.3;
2024-05-20T08:45:45,313455977+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.3;humidity=48.3;
2024-05-20T08:45:46,372609968+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.3;humidity=48.3;
2024-05-20T08:45:47,438901798+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.3;humidity=48.3;
2024-05-20T08:45:48,492697186+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.2;humidity=48.7;
2024-05-20T08:45:49,541156601+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.2;humidity=48.7;
2024-05-20T08:45:50,597281158+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.2;humidity=48.7;
2024-05-20T08:45:51,633329011+02:00;temperature.gpu=39.7;temperature.cpu=39.704;temperature.env=26.2;humidity=48.7;
2024-05-20T08:45:52,693170149+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26.2;humidity=48.7;
2024-05-20T08:45:53,722093585+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26.1;humidity=49;
2024-05-20T08:45:54,765872728+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26.1;humidity=49;
2024-05-20T08:45:55,794136109+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26.1;humidity=49;
2024-05-20T08:45:56,858432082+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26.1;humidity=49;
2024-05-20T08:45:57,906331485+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26.1;humidity=49;
2024-05-20T08:45:58,936079503+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26;humidity=49.2;
2024-05-20T08:45:59,975466681+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26;humidity=49.2;
2024-05-20T08:46:01,011630305+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26;humidity=49.2;
2024-05-20T08:46:02,041066446+02:00;temperature.gpu=38.6;temperature.cpu=39.166;temperature.env=26;humidity=49.2;
2024-05-20T08:46:03,071355469+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=26;humidity=49.2;
2024-05-20T08:46:04,103880887+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.9;humidity=49.4;
2024-05-20T08:46:05,137144787+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.9;humidity=49.4;
2024-05-20T08:46:06,167376237+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.9;humidity=49.4;
2024-05-20T08:46:07,198574970+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.9;humidity=49.4;
2024-05-20T08:46:08,235138524+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.9;humidity=49.4;
2024-05-20T08:46:09,271323450+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.8;humidity=49.6;
2024-05-20T08:46:10,299015480+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.8;humidity=49.6;
2024-05-20T08:46:11,326865988+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.8;humidity=49.6;
2024-05-20T08:46:12,365942866+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.8;humidity=49.6;
2024-05-20T08:46:13,394622432+02:00;temperature.gpu=38.6;temperature.cpu=38.09;temperature.env=25.8;humidity=49.8;
2024-05-20T08:46:14,436816887+02:00;temperature.gpu=38.6;temperature.cpu=38.09;temperature.env=25.8;humidity=49.8;
2024-05-20T08:46:15,483867859+02:00;temperature.gpu=38.6;temperature.cpu=38.09;temperature.env=25.8;humidity=49.8;
2024-05-20T08:46:16,538409068+02:00;temperature.gpu=38.6;temperature.cpu=38.09;temperature.env=25.8;humidity=49.8;
2024-05-20T08:46:17,593561757+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.8;humidity=49.8;
2024-05-20T08:46:18,642729372+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.7;humidity=50;
2024-05-20T08:46:19,702718551+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.7;humidity=50;
2024-05-20T08:46:20,736745391+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.7;humidity=50;
2024-05-20T08:46:21,792451186+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.7;humidity=50;
2024-05-20T08:46:22,850583276+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.7;humidity=50;
2024-05-20T08:46:23,918826823+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:24,958034208+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:26,015707519+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:27,058660085+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:28,120210578+02:00;temperature.gpu=38.1;temperature.cpu=37.552;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:29,193768042+02:00;temperature.gpu=38.1;temperature.cpu=37.552;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:30,253911473+02:00;temperature.gpu=38.1;temperature.cpu=37.552;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:31,321192838+02:00;temperature.gpu=38.1;temperature.cpu=37.552;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:32,406867024+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.6;humidity=50.2;
2024-05-20T08:46:33,463562754+02:00;temperature.gpu=37.6;temperature.cpu=38.09;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:34,495903467+02:00;temperature.gpu=37.6;temperature.cpu=38.09;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:35,528435457+02:00;temperature.gpu=37.6;temperature.cpu=38.09;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:36,558204103+02:00;temperature.gpu=37.6;temperature.cpu=38.09;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:37,587193719+02:00;temperature.gpu=37.6;temperature.cpu=37.014;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:38,621421355+02:00;temperature.gpu=37.6;temperature.cpu=37.014;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:39,652641343+02:00;temperature.gpu=37.6;temperature.cpu=37.014;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:40,701765448+02:00;temperature.gpu=37.6;temperature.cpu=37.014;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:41,735119107+02:00;temperature.gpu=37.6;temperature.cpu=37.014;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:42,766534627+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.4;
2024-05-20T08:46:43,797035517+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.6;
