timeInSecondsSinceEpoch;source;destination;databytes
1717607610.622092;192.168.1.1.8888;172.23.69.13.59034;63d91f7321e0
1717607610.622157;192.168.1.1.8888;172.23.69.13.59034;618590ab92a6
1717607610.622464;192.168.1.1.8888;172.23.69.13.59034;0bcf19c86a16
1717607610.623103;192.168.1.1.8888;172.23.69.13.59034;06bedf298ecb
1717607610.623455;192.168.1.1.8888;172.23.69.13.59034;3d093aa50c00
1717607610.624166;192.168.1.1.8888;172.23.69.13.59034;ebe2b1ef6947
1717607610.624226;192.168.1.1.8888;172.23.69.13.59034;e7920f0ccbf7
1717607610.628780;192.168.1.1.8888;172.23.69.13.59034;0b8c5a575b21
1717607610.628819;192.168.1.1.8888;172.23.69.13.59034;22abb79205cc
1717607610.655090;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.655129;192.168.1.1.8888;172.23.69.13.59034;df670b31ec57
1717607610.655181;192.168.1.1.8888;172.23.69.13.59034;5f2154779d74
1717607610.655673;192.168.1.1.8888;172.23.69.13.59034;8ef48da96063
1717607610.658928;192.168.1.1.8888;172.23.69.13.59034;58ba887a876c
1717607610.658973;192.168.1.1.8888;172.23.69.13.59034;181469d7c42a
1717607610.658981;192.168.1.1.8888;172.23.69.13.59034;3512f5fe0150
1717607610.688723;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.688871;192.168.1.1.8888;172.23.69.13.59034;d40bfd26785d
1717607610.689028;192.168.1.1.8888;172.23.69.13.59034;e62e08b6cf98
1717607610.689065;192.168.1.1.8888;172.23.69.13.59034;399247541d79
1717607610.689265;192.168.1.1.8888;172.23.69.13.59034;2fd83cacc8a6
1717607610.690035;192.168.1.1.8888;172.23.69.13.59034;8864084596db
1717607610.691859;192.168.1.1.8888;172.23.69.13.59034;30a2a95905c2
1717607610.691927;192.168.1.1.8888;172.23.69.13.59034;4c0019ec89c6
1717607610.721922;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.721955;192.168.1.1.8888;172.23.69.13.59034;b0f2e3f97e86
1717607610.722027;192.168.1.1.8888;172.23.69.13.59034;3874edf5174c
1717607610.722135;192.168.1.1.8888;172.23.69.13.59034;b4761250d7dc
1717607610.722256;192.168.1.1.8888;172.23.69.13.59034;6df0e9d43151
1717607610.722587;192.168.1.1.8888;172.23.69.13.59034;50c481c00c23
