timeInSecondsSinceEpoch;source;destination;databytes
1717607710.086585;192.168.1.1.8888;172.23.69.13.59034;373db972dcc7
1717607710.086748;192.168.1.1.8888;172.23.69.13.59034;f336ce0b5de7
1717607710.086927;192.168.1.1.8888;172.23.69.13.59034;6418c2239415
1717607710.087113;192.168.1.1.8888;172.23.69.13.59034;c88d433b1e59
1717607710.087275;192.168.1.1.8888;172.23.69.13.59034;0f25f40d2bfd
1717607710.087324;192.168.1.1.8888;172.23.69.13.59034;da77b6275ff6
1717607710.087473;192.168.1.1.8888;172.23.69.13.59034;2e36688aa9f3
1717607710.087628;192.168.1.1.8888;172.23.69.13.59034;0d96492ee65a
1717607710.087701;192.168.1.1.8888;172.23.69.13.59034;92be19793b7d
1717607710.087868;192.168.1.1.8888;172.23.69.13.59034;b5746ac3085c
1717607710.088076;192.168.1.1.8888;172.23.69.13.59034;116a85b79394
1717607710.088200;192.168.1.1.8888;172.23.69.13.59034;47137a60caf7
1717607710.088376;192.168.1.1.8888;172.23.69.13.59034;ccd551e6a3a5
1717607710.088429;192.168.1.1.8888;172.23.69.13.59034;6426433ae28f
1717607710.088576;192.168.1.1.8888;172.23.69.13.59034;9824c1cb1170
1717607710.088685;192.168.1.1.8888;172.23.69.13.59034;74109bd5c372
1717607710.088917;192.168.1.1.8888;172.23.69.13.59034;10065c71754c
1717607710.088926;192.168.1.1.8888;172.23.69.13.59034;3713bc62fb31
1717607710.089100;192.168.1.1.8888;172.23.69.13.59034;6430761245ad
1717607710.089203;192.168.1.1.8888;172.23.69.13.59034;a3668980d34c
1717607710.122542;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.122621;192.168.1.1.8888;172.23.69.13.59034;09d43e58dc5a
1717607710.122629;192.168.1.1.8888;172.23.69.13.59034;6795daed7cb4
1717607710.122716;192.168.1.1.8888;172.23.69.13.59034;7f00e7aa72df
1717607710.153109;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.153148;192.168.1.1.8888;172.23.69.13.59034;cc90cff8fb46
1717607710.153285;192.168.1.1.8888;172.23.69.13.59034;824cb5251b8e
1717607710.153354;192.168.1.1.8888;172.23.69.13.59034;1175653f3b0c
1717607710.153482;192.168.1.1.8888;172.23.69.13.59034;48a2520b6109
1717607710.153602;192.168.1.1.8888;172.23.69.13.59034;0a0efc42170d
1717607710.153726;192.168.1.1.8888;172.23.69.13.59034;16665fb67195
1717607710.153891;192.168.1.1.8888;172.23.69.13.59034;3b6b99b6dc01
1717607710.153986;192.168.1.1.8888;172.23.69.13.59034;b20d118234c8
1717607710.154090;192.168.1.1.8888;172.23.69.13.59034;013fa2d65cb6
1717607710.154225;192.168.1.1.8888;172.23.69.13.59034;847c664ad954
1717607710.154341;192.168.1.1.8888;172.23.69.13.59034;ae6f294c6df7
1717607710.154457;192.168.1.1.8888;172.23.69.13.59034;8026c112b61b
1717607710.154587;192.168.1.1.8888;172.23.69.13.59034;741afcbf654b
1717607710.154710;192.168.1.1.8888;172.23.69.13.59034;a2d8889e2ddc
1717607710.154851;192.168.1.1.8888;172.23.69.13.59034;566bc6003287
1717607710.154960;192.168.1.1.8888;172.23.69.13.59034;69fb6e0ec327
1717607710.155080;192.168.1.1.8888;172.23.69.13.59034;d96e09f30075
1717607710.155202;192.168.1.1.8888;172.23.69.13.59034;cde513f20940
1717607710.155342;192.168.1.1.8888;172.23.69.13.59034;bf11b3094dda
1717607710.155454;192.168.1.1.8888;172.23.69.13.59034;492b0220b59f
1717607710.155587;192.168.1.1.8888;172.23.69.13.59034;ead107d24bd1
1717607710.155700;192.168.1.1.8888;172.23.69.13.59034;d3c7065288f8
1717607710.155813;192.168.1.1.8888;172.23.69.13.59034;df844d40318e
1717607710.155932;192.168.1.1.8888;172.23.69.13.59034;c3fb16b6f347
1717607710.191490;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.191554;192.168.1.1.8888;172.23.69.13.59034;2401546d57c6
1717607710.191563;192.168.1.1.8888;172.23.69.13.59034;ae60962a37c7
1717607710.219682;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.219712;192.168.1.1.8888;172.23.69.13.59034;1f4239bff3b8
1717607710.219763;192.168.1.1.8888;172.23.69.13.59034;45b078c58750
1717607710.219878;192.168.1.1.8888;172.23.69.13.59034;12b2bcc3f56a
1717607710.219988;192.168.1.1.8888;172.23.69.13.59034;dd3e7e55fde4
1717607710.220110;192.168.1.1.8888;172.23.69.13.59034;a38c90f9b585
1717607710.220234;192.168.1.1.8888;172.23.69.13.59034;7a938721d885
1717607710.220356;192.168.1.1.8888;172.23.69.13.59034;0f1d11498379
1717607710.220484;192.168.1.1.8888;172.23.69.13.59034;337b17edd822
1717607710.220617;192.168.1.1.8888;172.23.69.13.59034;a9b3baee4cb5
1717607710.220725;192.168.1.1.8888;172.23.69.13.59034;ff0bcf78d6f3
1717607710.220848;192.168.1.1.8888;172.23.69.13.59034;9d68067379c8
1717607710.220971;192.168.1.1.8888;172.23.69.13.59034;e6bf63568307
1717607710.221094;192.168.1.1.8888;172.23.69.13.59034;28703800e1ec
1717607710.221217;192.168.1.1.8888;172.23.69.13.59034;291aa9d580f1
1717607710.221340;192.168.1.1.8888;172.23.69.13.59034;1e2f0adcdc49
1717607710.221463;192.168.1.1.8888;172.23.69.13.59034;cdf0aa3ed7b3
1717607710.221586;192.168.1.1.8888;172.23.69.13.59034;f43b60b5e6c1
1717607710.221709;192.168.1.1.8888;172.23.69.13.59034;f34260a8b74b
1717607710.221835;192.168.1.1.8888;172.23.69.13.59034;0782a5e466b1
1717607710.221956;192.168.1.1.8888;172.23.69.13.59034;6a307a1f76b7
1717607710.222078;192.168.1.1.8888;172.23.69.13.59034;0a5930c429da
1717607710.222202;192.168.1.1.8888;172.23.69.13.59034;4cf3f5633115
1717607710.222324;192.168.1.1.8888;172.23.69.13.59034;da9298768531
1717607710.222451;192.168.1.1.8888;172.23.69.13.59034;b1af4a4d5f3c
1717607710.222557;192.168.1.1.8888;172.23.69.13.59034;b63470fd5ffc
1717607710.253377;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.253409;192.168.1.1.8888;172.23.69.13.59034;c39a2b769c45
1717607710.253464;192.168.1.1.8888;172.23.69.13.59034;e524291c0b98
1717607710.253581;192.168.1.1.8888;172.23.69.13.59034;2ae2f22334cd
1717607710.253704;192.168.1.1.8888;172.23.69.13.59034;76d516febcae
